iter,lr,train_loss,val_loss,tokens_seen,elapsed_sec
0,0.0,9.253297209739685,9.269308924674988,256,0.6400882099987939
250,0.00029992771930930934,4.567402124404907,4.314752680063248,64256,3.875082424026914
500,0.0002974060128544361,4.208019107580185,4.0946713328361515,128256,7.095534511958249
750,0.00029134730011223895,3.8420902490615845,3.8259276866912844,192256,10.589397363946773
1000,0.0002819134295108992,3.660638451576233,3.701491540670395,256256,13.801139561925083
1250,0.0002693564112039694,3.6143133342266083,3.7390783548355104,320256,17.444064863957465
1500,0.00025401168503850927,3.341909497976303,3.3958037316799166,384256,20.400720199919306
1750,0.00023628915983779964,3.214458465576172,3.3265314221382143,448256,24.098593371920288
2000,0.00021666226336928708,3.3626438081264496,3.460884875059128,512256,27.604085701983422
2250,0.00019565529550964034,3.333725094795227,3.2785177886486054,576256,30.98490447702352
2500,0.00017382942244606933,3.0610194206237793,3.0710771799087526,640256,34.33179508999456
2750,0.0001517676860555093,3.3863706290721893,3.238900917768478,704256,38.057067813002504
3000,0.0001300594289111597,3.416954219341278,3.165137928724289,768256,41.20222231501248
3250,0.0001092845509764067,3.1530589759349823,2.9371371805667876,832256,44.62712163000833
3500,8.999801854235368e-05,3.0373523235321045,3.17618533372879,896256,48.06548077298794
3750,7.271503922691239e-05,3.133629858493805,3.183949816226959,960256,51.503287440980785
4000,5.789729906068323e-05,3.1374020278453827,3.056234085559845,1024256,54.574501066002995
4250,4.594062931297208e-05,3.1679250299930573,3.0051010251045227,1088256,57.85662087693345
4500,3.7164432518160744e-05,3.3272071182727814,3.118823140859604,1152256,60.819631816935726
4750,3.180315016854134e-05,3.0612967014312744,3.0761895000934603,1216256,64.08930973894894
4999,3.0000028914855615e-05,3.498443067073822,3.0798069417476652,1280000,67.11338114901446
