iter,lr,train_loss,val_loss,tokens_seen,elapsed_sec
0,0.0,9.269619750976563,9.268676376342773,16384,0.867848102003336
10,1.0,149.9435577392578,149.85695266723633,180224,2.006959034013562
20,1.0,104.47943115234375,104.66231155395508,344064,2.9036760419839993
30,1.0,97.85423278808594,97.8472183227539,507904,3.8015989320119843
40,1.0,49.12511367797852,49.0645248413086,671744,4.700091948965564
50,1.0,36.40051193237305,36.31917743682861,835584,5.5971520219463855
60,1.0,63.74306411743164,63.46084327697754,999424,6.494710366940126
70,1.0,52.6974853515625,52.76245651245117,1163264,7.391535139991902
80,1.0,61.917581176757814,61.652985191345216,1327104,8.288866639020853
90,1.0,52.833193969726565,52.749869155883786,1490944,9.243458771961741
100,1.0,72.7689224243164,73.23235969543457,1654784,10.1408469339367
110,1.0,77.00159759521485,77.46511764526367,1818624,11.037930971942842
120,1.0,59.66649703979492,59.26960391998291,1982464,11.935122980969027
130,1.0,61.2208740234375,61.188101577758786,2146304,12.83198394998908
140,1.0,41.0563362121582,41.16087951660156,2310144,13.728793966933154
150,1.0,36.94172897338867,37.0023681640625,2473984,14.625389407970943
160,1.0,29.87067565917969,29.698422336578368,2637824,15.521983955986798
170,1.0,25.01653289794922,24.847733402252196,2801664,16.4186289049685
180,1.0,63.364891815185544,63.2510269165039,2965504,17.31492240494117
190,1.0,45.28756561279297,44.909739112854005,3129344,18.21129495895002
200,1.0,53.88836517333984,53.728665351867676,3293184,19.108366344007663
210,1.0,68.66478271484375,68.7028034210205,3457024,20.00536839198321
220,1.0,41.54557418823242,41.503665924072266,3620864,20.90219201904256
230,1.0,53.25953140258789,53.483568382263186,3784704,21.798854021006264
240,1.0,40.159471893310545,39.98882942199707,3948544,22.6966076369863
250,1.0,62.27801361083984,62.50563087463379,4112384,23.594195839948952
260,1.0,72.36558074951172,72.22190170288086,4276224,24.49076639395207
270,1.0,53.009386444091795,53.13155403137207,4440064,25.38938435795717
280,1.0,37.018270111083986,37.19504852294922,4603904,26.286622538929805
290,1.0,76.2969253540039,76.41167411804199,4767744,27.1872937430162
299,1.0,57.443084716796875,57.54861335754394,4915200,28.040028173010796
