iter,lr,train_loss,val_loss,tokens_seen,elapsed_sec
0,0.0,9.269742584228515,9.268490600585938,16384,0.9251293509732932
250,0.0009997590643643646,2.6825685501098633,2.6738195180892945,4112384,13.22083627898246
500,0.0009913533761814538,2.2589284420013427,2.2862213015556336,8208384,25.584566698991694
750,0.0009711576670407966,2.0899176597595215,2.1147684693336486,12304384,38.1923884130083
1000,0.0009397114317029974,1.971032404899597,2.0096772968769074,16400384,50.56318547402043
1250,0.0008978547040132316,1.9249564409255981,1.9477017879486085,20496384,63.25076303794049
1500,0.000846705616795031,1.8616126537323,1.8802351891994475,24592384,75.62297599995509
1750,0.0007876305327926657,1.8339149236679078,1.8214578866958617,28688384,88.26588788197841
2000,0.0007222075445642905,1.7996923685073853,1.8109099745750428,32784384,100.67008895694744
2250,0.000652184318365468,1.7431445837020874,1.7824060201644898,36880384,113.30644412897527
2500,0.0005794314081535645,1.773448657989502,1.7475133895874024,40976384,125.69324266095646
2750,0.0005058922868516978,1.7745682716369628,1.707712894678116,45072384,138.38520014099777
3000,0.0004335314297038657,1.6794676780700684,1.6842362880706787,49168384,150.7766869009938
3250,0.00036428183658802237,1.6645613670349122,1.657195794582367,53264384,163.44497685402166
3500,0.00029999339514117897,1.6670663833618165,1.63950914144516,57360384,175.81160679401364
3750,0.000242383464089708,1.6480489253997803,1.6384681940078736,61456384,188.51919386500958
4000,0.00019299099686894414,1.5793989181518555,1.6097302198410035,65552384,200.92306709196419
4250,0.0001531354310432403,1.5878773212432862,1.6040648579597474,69648384,213.61783380398992
4500,0.0001238814417272025,1.572743558883667,1.600953894853592,73744384,226.01486697397195
4750,0.00010601050056180446,1.6162696838378907,1.555266797542572,77840384,238.67648438096512
4999,0.00010000009638285205,1.572991418838501,1.574565404653549,81920000,251.0331457320135
