iter,lr,train_loss,val_loss,tokens_seen,elapsed_sec
0,0.0,9.251472091674804,9.25178837776184,16384,0.9144980839919299
250,0.0009997590643643646,2.847564935684204,2.8453914880752564,4112384,12.685955057968386
500,0.0009913533761814538,2.3974042415618895,2.4292670845985413,8208384,24.56569929898251
750,0.0009711576670407966,2.195853853225708,2.220631682872772,12304384,36.62693086604122
1000,0.0009397114317029974,2.048614263534546,2.0884624242782595,16400384,48.481679750955664
1250,0.0008978547040132316,1.9888835191726684,2.0112430095672607,20496384,60.594485839945264
1500,0.000846705616795031,1.9171197414398193,1.9360450685024262,24592384,72.47527028503828
1750,0.0007876305327926657,1.8871964693069458,1.8765481770038606,28688384,84.64305270195473
2000,0.0007222075445642905,1.8476064443588256,1.8609152913093567,32784384,96.50500727095641
2250,0.000652184318365468,1.7987242460250854,1.8332728743553162,36880384,108.70477662002668
2500,0.0005794314081535645,1.8238865613937378,1.7973509550094604,40976384,120.5662579810014
2750,0.0005058922868516978,1.82712779045105,1.7540221631526947,45072384,132.7398575739935
3000,0.0004335314297038657,1.7281517744064332,1.7334150195121765,49168384,144.5849170240108
3250,0.00036428183658802237,1.714572286605835,1.7056603729724884,53264384,156.7172963740304
3500,0.00029999339514117897,1.721952223777771,1.6904767990112304,57360384,168.57993130094837
3750,0.000242383464089708,1.7019384384155274,1.69516361951828,61456384,180.71431336004753
4000,0.00019299099686894414,1.6308887958526612,1.6613504528999328,65552384,192.2755516129546
4250,0.0001531354310432403,1.6453569173812865,1.6573585271835327,69648384,204.42148359899875
4500,0.0001238814417272025,1.6283128023147584,1.6565451622009277,73744384,216.29073049104773
4750,0.00010601050056180446,1.6715029954910279,1.6109637320041656,77840384,228.3679123610491
4999,0.00010000009638285205,1.6263291835784912,1.6300349354743957,81920000,240.17240814201068
