iter,lr,train_loss,val_loss,tokens_seen,elapsed_sec
0,0.0,9.269228458404541,9.267862033843993,8192,0.8156622630776837
500,0.0009990562718069703,2.493415196736654,2.5507869799931844,4104192,12.276851430069655
1000,0.0009884847360911166,2.2032942374547324,2.2119515975316366,8200192,23.849919542088173
1500,0.0009664395533392169,2.0313684344291687,2.0937780340512595,12296192,35.64845672203228
2000,0.0009334975706451862,1.9991683959960938,1.985791560014089,16392192,47.2172652130248
2500,0.0008905207671179629,1.9136110544204712,1.9121150056521097,20488192,59.061421832069755
3000,0.000838633698834013,1.8583173155784607,1.870910886923472,24584192,70.64795683405828
3500,0.0007791940730479434,1.7937938570976257,1.8537749807039896,28680192,82.52771821303759
4000,0.0007137572216335694,1.7711974382400513,1.8090140740076701,32776192,94.10325587901752
4500,0.0006440354033640739,1.7390925288200378,1.7731379866600037,36872192,105.96073051309213
5000,0.0005718529999515018,1.6951435208320618,1.7332144101460776,40968192,117.54146120208316
5500,0.0004990987782121223,1.7025328874588013,1.705927280584971,45064192,129.4329485819908
6000,0.0004276764674936458,1.6766617894172668,1.6876565059026083,49160192,141.02496320707723
6500,0.0003594549455841294,1.654890199502309,1.6728626847267152,53256192,153.01244524109643
7000,0.00029621933656709203,1.6227660179138184,1.6511409838994344,57352192,164.60691745905206
7500,0.0002396243002248532,1.6411847273508708,1.6183022777239482,61448192,176.51443207100965
8000,0.00019115073524677558,1.594345490137736,1.6110366980234783,65544192,188.1101587730227
8500,0.00015206702917148945,1.5600158174832661,1.588402771949768,69640192,199.97998011403251
9000,0.00012339586901967831,1.5819720029830933,1.5928309361139934,73736192,211.58687575499061
9500,0.00010588748106974919,1.5309571425120037,1.576108733812968,77832192,223.1976124770008
9999,0.00010000002360145574,1.558887541294098,1.594640854994456,81920000,234.77888977399562
