iter,lr,train_loss,val_loss,tokens_seen,elapsed_sec
0,0.0,9.269619750976563,9.268676376342773,16384,0.9267901179846376
250,0.0009997590643643646,2.7168233394622803,2.7090649604797363,4112384,13.484151293989271
500,0.0009913533761814538,2.2703099727630613,2.302224171161652,8208384,26.07814627699554
750,0.0009711576670407966,2.0956217765808107,2.114900195598602,12304384,38.90461834194139
1000,0.0009397114317029974,1.962783408164978,2.006245356798172,16400384,51.52111051394604
1250,0.0008978547040132316,1.910617971420288,1.9399590253829957,20496384,64.52945150702726
1500,0.000846705616795031,1.8497654914855957,1.8697250962257386,24592384,77.16492986900266
1750,0.0007876305327926657,1.8281616687774658,1.8154139876365663,28688384,90.09221302194055
2000,0.0007222075445642905,1.7877348423004151,1.7998783349990846,32784384,102.70214537193533
2250,0.000652184318365468,1.7409213304519653,1.7732001721858979,36880384,115.57934899593238
2500,0.0005794314081535645,1.7633238315582276,1.7384151339530944,40976384,128.18093266396318
2750,0.0005058922868516978,1.7662771701812745,1.7010105311870576,45072384,141.06563394598197
3000,0.0004335314297038657,1.6715293169021606,1.6800377070903778,49168384,153.7259866669774
3250,0.00036428183658802237,1.6609742879867553,1.6528377294540406,53264384,166.70790475897957
3500,0.00029999339514117897,1.6672473907470704,1.6352309584617615,57360384,179.31997418601532
3750,0.000242383464089708,1.6454848051071167,1.638752716779709,61456384,192.18354152492248
4000,0.00019299099686894414,1.5799705505371093,1.6098798036575317,65552384,204.498218589928
4250,0.0001531354310432403,1.5895515918731689,1.6050203263759613,69648384,217.35649725794792
4500,0.0001238814417272025,1.5757948875427246,1.602526706457138,73744384,229.96293567901012
4750,0.00010601050056180446,1.618066143989563,1.5592819511890412,77840384,242.8289054170018
4999,0.00010000009638285205,1.5709843635559082,1.5786485612392425,81920000,255.37700451991986
