iter,lr,train_loss,val_loss,tokens_seen,elapsed_sec
0,0.0,16.232946586608886,16.645638990402222,16384,0.9228948339587077
250,0.00029992771930930934,3.1840892314910887,3.1858359694480898,4112384,12.471181444008835
500,0.0002974060128544361,2.639321136474609,2.671787214279175,8208384,24.085061736986972
750,0.00029134730011223895,2.438800096511841,2.455716145038605,12304384,35.959832628956065
1000,0.0002819134295108992,2.2646966934204102,2.3071014404296877,16400384,47.67546971095726
1250,0.0002693564112039694,2.1816134452819824,2.207329750061035,20496384,59.68862079293467
1500,0.00025401168503850927,2.0967111587524414,2.1138898491859437,24592384,71.3437661640346
1750,0.00023628915983779964,2.0567357540130615,2.043817329406738,28688384,83.28679636097513
2000,0.00021666226336928708,2.0137213706970214,2.0230945348739624,32784384,94.93927771004383
2250,0.00019565529550964034,1.9512847423553468,1.987654435634613,36880384,106.8891676759813
2500,0.00017382942244606933,1.9779046297073364,1.9529179215431214,40976384,118.5376758739585
2750,0.0001517676860555093,1.9839671850204468,1.9092087686061858,45072384,130.49325689603575
3000,0.0001300594289111597,1.8805602550506593,1.8872194647789002,49168384,142.1530643060105
3250,0.0001092845509764067,1.8673676013946534,1.8613382518291473,53264384,154.09718458901625
3500,8.999801854235368e-05,1.8808552742004394,1.8440887331962585,57360384,165.7392759580398
3750,7.271503922691239e-05,1.8602531671524047,1.8513372838497162,61456384,177.68879971199203
4000,5.789729906068323e-05,1.7858580589294433,1.8201955258846283,65552384,189.02927117899526
4250,4.594062931297208e-05,1.796648120880127,1.8138597190380097,69648384,200.99533053697087
4500,3.7164432518160744e-05,1.7844569683074951,1.8115746617317199,73744384,212.69714272697456
4750,3.180315016854134e-05,1.8349064111709594,1.7678757667541505,77840384,224.68955971999094
4999,3.0000028914855615e-05,1.7829715490341187,1.7888125002384185,81920000,236.30818696902134
