iter,lr,train_loss,val_loss,tokens_seen,elapsed_sec
0,0.0,9.269619750976563,9.268676376342773,16384,0.8887951310025528
5,3.0,879.5981079101563,876.8639373779297,98304,1.7881314579863101
10,3.0,461.19402465820315,465.50341339111327,180224,2.452782036969438
15,3.0,269.740283203125,270.6441650390625,262144,3.1190427970141172
20,3.0,157.77936401367188,156.73915939331056,344064,3.78466478001792
25,3.0,116.98718872070313,116.60160980224609,425984,4.449543827911839
30,3.0,126.89291381835938,125.69590911865234,507904,5.115410774946213
35,3.0,71.61365051269532,71.58842391967774,589824,5.780827088980004
40,3.0,109.70012512207032,109.73032035827637,671744,6.44584879395552
45,3.0,122.19027404785156,121.70373420715332,753664,7.111473283963278
50,3.0,98.77154388427735,99.09540328979492,835584,7.775852676015347
55,3.0,123.55540618896484,124.16647796630859,917504,8.441094341920689
60,3.0,173.62461547851564,173.0472053527832,999424,9.106138159986585
65,3.0,130.96790161132813,130.9377586364746,1081344,9.770733615965582
70,3.0,162.48235473632812,162.25471954345704,1163264,10.43454083101824
75,3.0,164.9681884765625,163.81797561645507,1245184,11.098415731918067
80,3.0,250.69253845214843,247.58177642822267,1327104,11.762176599935628
85,3.0,183.8100555419922,181.98650588989258,1409024,12.42588028497994
90,3.0,215.04931030273437,214.34686584472655,1490944,13.090491654002108
95,3.0,135.94443359375,135.92138061523437,1572864,13.754930552910082
100,3.0,127.1254669189453,127.4846405029297,1654784,14.419641682994552
105,3.0,100.74230041503907,101.96773796081543,1736704,15.08353989594616
110,3.0,154.40552978515626,156.55242156982422,1818624,15.74775805301033
115,3.0,117.20121612548829,117.43345146179199,1900544,16.411089540924877
120,3.0,218.938916015625,218.8199432373047,1982464,17.07571790192742
125,3.0,241.14766540527344,240.78885879516602,2064384,17.739475567941554
130,3.0,206.98775634765624,205.08624496459962,2146304,18.403385126963258
135,3.0,134.8421661376953,133.3024559020996,2228224,19.067236049915664
140,3.0,277.8840759277344,277.6073623657227,2310144,19.73161075497046
145,3.0,193.73880310058593,194.7492248535156,2392064,20.39550333796069
150,3.0,134.12726440429688,134.9323600769043,2473984,21.059835786931217
155,3.0,127.59105224609375,127.86236305236817,2555904,21.724549604929052
160,3.0,107.0402114868164,107.26348266601562,2637824,22.38830714300275
165,3.0,101.77781677246094,102.02600936889648,2719744,23.052367359981872
170,3.0,111.18845672607422,111.06988830566407,2801664,23.71686022891663
175,3.0,242.6372833251953,241.65319137573243,2883584,24.381218328955583
180,3.0,185.6673614501953,185.83238372802734,2965504,25.045737196924165
185,3.0,231.94219360351562,232.05432510375977,3047424,25.71007011795882
190,3.0,136.78309936523436,136.66742477416992,3129344,26.377310785930604
195,3.0,119.39814147949218,119.60601615905762,3211264,27.0415715809213
199,3.0,118.06224365234375,117.59584770202636,3276800,27.65832300693728
