iter,lr,train_loss,val_loss,tokens_seen,elapsed_sec
0,0.0,9.269619750976563,9.268676376342773,16384,0.9421646720729768
250,9.997590643643647e-05,3.9815377712249758,3.984576630592346,4112384,13.370677440077998
500,9.913533761814537e-05,3.1703680038452147,3.200728487968445,8208384,25.870693706092425
750,9.711576670407965e-05,2.9020838737487793,2.9092169523239138,12304384,38.655640144017525
1000,9.397114317029974e-05,2.7037289142608643,2.7403076171875,16400384,51.17829995905049
1250,8.978547040132317e-05,2.614486885070801,2.638246035575867,20496384,64.10213805700187
1500,8.467056167950311e-05,2.5210009574890138,2.5323018193244935,24592384,76.62911936198361
1750,7.876305327926657e-05,2.465450620651245,2.453473961353302,28688384,89.44613658508752
2000,7.222075445642905e-05,2.425419473648071,2.4247224926948547,32784384,101.96858482202515
2250,6.52184318365468e-05,2.3597142696380615,2.39272620677948,36880384,114.78137827198952
2500,5.794314081535645e-05,2.3800103187561037,2.34982750415802,40976384,127.27818980906159
2750,5.058922868516977e-05,2.3950623512268066,2.3023630142211915,45072384,140.08733944606502
3000,4.335314297038657e-05,2.277639150619507,2.279740238189697,49168384,152.61228545103222
3250,3.642818365880224e-05,2.2697856426239014,2.2556928396224976,53264384,165.4186135029886
3500,2.99993395141179e-05,2.275597620010376,2.2422217965126037,57360384,177.91479851305485
3750,2.42383464089708e-05,2.2611539363861084,2.2490424156188964,61456384,190.74151915300172
4000,1.9299099686894413e-05,2.1929056644439697,2.218848717212677,65552384,202.92292994004674
4250,1.531354310432403e-05,2.2008337020874023,2.21213880777359,69648384,215.7277973589953
4500,1.238814417272025e-05,2.1947629928588865,2.2171114087104797,73744384,228.25419961707667
4750,1.0601050056180447e-05,2.2505695819854736,2.169984591007233,77840384,240.7686440810794
4999,1.0000009638285207e-05,2.1960049152374266,2.1890128374099733,81920000,253.23850843403488
